	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
212	8.174	54.63	110.48	65.04	172.5	304929120.0
213	8.174	54.63	111.23	62.79	172.5	267117600.0
214	8.174	54.63	111.23	63.54	172.5	333849024.0
215	8.174	54.63	111.23	64.294	172.5	522914752.0
216	8.174	54.63	111.23	65.04	172.5	480707232.0
217	8.174	54.63	111.23	65.79	172.5	370079744.0
218	8.174	54.63	111.98	62.79	172.5	283415168.0
219	8.174	54.63	111.98	63.54	172.5	427539648.0
220	8.174	54.63	111.98	64.294	172.5	691883200.0
221	8.174	54.63	111.98	65.04	172.5	638707776.0
222	8.174	54.63	111.98	65.79	172.5	472514272.0
223	8.174	54.63	112.726	62.79	172.5	267440592.0
224	8.174	54.63	112.726	63.54	172.5	447653984.0
225	8.174	54.63	112.726	64.294	172.5	854603008.0
226	8.174	54.63	112.726	65.04	172.5	814917120.0
227	8.174	54.63	112.726	65.79	172.5	532134464.0
228	8.174	54.63	113.48	62.79	172.5	287215552.0
229	8.174	54.63	113.48	63.54	172.5	564073728.0
230	8.174	54.63	113.48	64.294	172.5	961165888.0
231	8.174	54.63	113.48	65.04	172.5	827284352.0
232	8.174	54.63	113.48	65.79	172.5	474353376.0
233	8.174	54.63	114.23	62.79	172.5	437360928.0
234	8.174	54.63	114.23	63.54	172.5	860080768.0
235	8.174	54.63	114.23	64.294	172.5	1215751424.0
236	8.174	54.63	114.23	65.04	172.5	1008720704.0
237	8.174	54.63	114.23	65.79	172.5	439601728.0
238	8.174	54.63	114.98	62.79	172.5	807636928.0
239	8.174	54.63	114.98	63.54	172.5	1101563904.0
240	8.174	54.63	114.98	64.294	172.5	1326166656.0
241	8.174	54.63	114.98	65.04	172.5	922683776.0
242	8.174	54.63	114.98	65.79	172.5	422735520.0
243	8.174	55.028999999999996	110.48	62.79	172.5	245589888.0
244	8.174	55.028999999999996	110.48	63.54	172.5	384413248.0
245	8.174	55.028999999999996	110.48	64.294	172.5	543838784.0
246	8.174	55.028999999999996	110.48	65.04	172.5	346585344.0
247	8.174	55.028999999999996	110.48	65.79	172.5	217249376.0
248	8.174	55.028999999999996	111.23	62.79	172.5	340405920.0
249	8.174	55.028999999999996	111.23	63.54	172.5	497417600.0
250	8.174	55.028999999999996	111.23	64.294	172.5	664328832.0
251	8.174	55.028999999999996	111.23	65.04	172.5	515391456.0
252	8.174	55.028999999999996	111.23	65.79	172.5	383378336.0
253	8.174	55.028999999999996	111.98	62.79	172.5	400962848.0
254	8.174	55.028999999999996	111.98	63.54	172.5	654697536.0
255	8.174	55.028999999999996	111.98	64.294	172.5	856813824.0
256	8.174	55.028999999999996	111.98	65.04	172.5	625329408.0
257	8.174	55.028999999999996	111.98	65.79	172.5	429056416.0
258	8.174	55.028999999999996	112.726	62.79	172.5	383403328.0
259	8.174	55.028999999999996	112.726	63.54	172.5	669226368.0
260	8.174	55.028999999999996	112.726	64.294	172.5	1073779840.0
261	8.174	55.028999999999996	112.726	65.04	172.5	891658304.0
262	8.174	55.028999999999996	112.726	65.79	172.5	483212576.0
263	8.174	55.028999999999996	113.48	62.79	172.5	431109152.0
264	8.174	55.028999999999996	113.48	63.54	172.5	840222144.0
265	8.174	55.028999999999996	113.48	64.294	172.5	1290618624.0
266	8.174	55.028999999999996	113.48	65.04	172.5	1010640576.0
267	8.174	55.028999999999996	113.48	65.79	172.5	515814496.0
268	8.174	55.028999999999996	114.23	62.79	172.5	576484352.0
269	8.174	55.028999999999996	114.23	63.54	172.5	1134314240.0
270	8.174	55.028999999999996	114.23	64.294	172.5	1550243328.0
271	8.174	55.028999999999996	114.23	65.04	172.5	1128167808.0
272	8.174	55.028999999999996	114.23	65.79	172.5	533229536.0
273	8.174	55.028999999999996	114.98	62.79	172.5	1003087616.0
274	8.174	55.028999999999996	114.98	63.54	172.5	1434392576.0
275	8.174	55.028999999999996	114.98	64.294	172.5	1749519360.0
276	8.174	55.028999999999996	114.98	65.04	172.5	1134938112.0
277	8.174	55.028999999999996	114.98	65.79	172.5	552970688.0
278	8.174	55.43	110.48	62.79	172.5	256802160.0
279	8.174	55.43	110.48	63.54	172.5	457843968.0
280	8.174	55.43	110.48	64.294	172.5	668030976.0
281	8.174	55.43	110.48	65.04	172.5	447627904.0
282	8.174	55.43	110.48	65.79	172.5	285777760.0
283	8.174	55.43	111.23	62.79	172.5	329164800.0
284	8.174	55.43	111.23	63.54	172.5	636138752.0
285	8.174	55.43	111.23	64.294	172.5	834057152.0
286	8.174	55.43	111.23	65.04	172.5	580238656.0
287	8.174	55.43	111.23	65.79	172.5	470152544.0
288	8.174	55.43	111.98	62.79	172.5	395141952.0
289	8.174	55.43	111.98	63.54	172.5	893016960.0
290	8.174	55.43	111.98	64.294	172.5	1060239680.0
291	8.174	55.43	111.98	65.04	172.5	668358016.0
292	8.174	55.43	111.98	65.79	172.5	457768896.0
293	8.174	55.43	112.726	62.79	172.5	432985344.0
294	8.174	55.43	112.726	63.54	172.5	780032576.0
295	8.174	55.43	112.726	64.294	172.5	1103809920.0
296	8.174	55.43	112.726	65.04	172.5	922370048.0
297	8.174	55.43	112.726	65.79	172.5	497860256.0
298	8.174	55.43	113.48	62.79	172.5	549017920.0
299	8.174	55.43	113.48	63.54	172.5	940358976.0
300	8.174	55.43	113.48	64.294	172.5	1366484992.0
301	8.174	55.43	113.48	65.04	172.5	1147436672.0
302	8.174	55.43	113.48	65.79	172.5	616049024.0
303	8.174	55.43	114.23	62.79	172.5	607853504.0
304	8.174	55.43	114.23	63.54	172.5	1087826560.0
305	8.174	55.43	114.23	64.294	172.5	1638342912.0
306	8.174	55.43	114.23	65.04	172.5	1266091904.0
307	8.174	55.43	114.23	65.79	172.5	711945280.0
308	8.174	55.43	114.98	62.79	172.5	859399552.0
309	8.174	55.43	114.98	63.54	172.5	1377093504.0
310	8.174	55.43	114.98	64.294	172.5	1850607104.0
311	8.174	55.43	114.98	65.04	172.5	1368486016.0
312	8.174	55.43	114.98	65.79	172.5	724547520.0
313	8.174	55.83	110.48	62.79	172.5	247619216.0
314	8.174	55.83	110.48	63.54	172.5	402530592.0
315	8.174	55.83	110.48	64.294	172.5	598259584.0
316	8.174	55.83	110.48	65.04	172.5	487909120.0
317	8.174	55.83	110.48	65.79	172.5	368022368.0
318	8.174	55.83	111.23	62.79	172.5	271105888.0
319	8.174	55.83	111.23	63.54	172.5	568039296.0
320	8.174	55.83	111.23	64.294	172.5	753982272.0
