	f4	f3	f2	f1	C	Intensity
128	8.047	55.825	118.4	63.71	172.355	2231359488.0
129	8.047	55.825	118.4	64.46	172.355	2005510400.0
130	8.047	55.825	119.15	62.21	172.355	583237312.0
131	8.047	55.825	119.15	62.96	172.355	915644288.0
132	8.047	55.825	119.15	63.71	172.355	1042106432.0
133	8.047	55.825	119.15	64.46	172.355	1307434496.0
134	8.047	55.825	119.9	63.71	172.355	497900576.0
135	8.047	55.825	119.9	64.46	172.355	782328512.0
136	8.047	56.23	115.4	62.96	172.355	762014208.0
137	8.047	56.23	115.4	63.71	172.355	841938048.0
138	8.047	56.23	115.4	64.46	172.355	1249170560.0
139	8.047	56.23	116.15	62.96	172.355	988331456.0
140	8.047	56.23	116.15	63.71	172.355	1026012864.0
141	8.047	56.23	116.15	64.46	172.355	1501593600.0
142	8.047	56.23	116.9	62.21	172.355	563575808.0
143	8.047	56.23	116.9	62.96	172.355	1926480128.0
144	8.047	56.23	116.9	63.71	172.355	1558620544.0
145	8.047	56.23	116.9	64.46	172.355	1736528640.0
146	8.047	56.23	117.65100000000001	62.21	172.355	891019328.0
147	8.047	56.23	117.65100000000001	62.96	172.355	3021278976.0
148	8.047	56.23	117.65100000000001	63.71	172.355	2187675136.0
149	8.047	56.23	117.65100000000001	64.46	172.355	1879244160.0
150	8.047	56.23	118.4	62.21	172.355	931908672.0
151	8.047	56.23	118.4	62.96	172.355	2319353600.0
152	8.047	56.23	118.4	63.71	172.355	1817434496.0
153	8.047	56.23	118.4	64.46	172.355	1473120512.0
154	8.047	56.23	119.15	62.21	172.355	540695424.0
155	8.047	56.23	119.15	62.96	172.355	918814016.0
156	8.047	56.23	119.15	63.71	172.355	794303296.0
157	8.047	56.23	119.15	64.46	172.355	924303360.0
158	8.047	56.23	119.9	64.46	172.355	557884288.0
159	8.047	56.62	115.4	64.46	172.355	783283392.0
160	8.047	56.62	116.15	62.96	172.355	573330304.0
161	8.047	56.62	116.15	63.71	172.355	515839680.0
162	8.047	56.62	116.15	64.46	172.355	815975296.0
163	8.047	56.62	116.9	62.96	172.355	1051273472.0
164	8.047	56.62	116.9	63.71	172.355	741383936.0
165	8.047	56.62	116.9	64.46	172.355	858034240.0
166	8.047	56.62	117.65100000000001	62.21	172.355	520652224.0
167	8.047	56.62	117.65100000000001	62.96	172.355	1630875904.0
168	8.047	56.62	117.65100000000001	63.71	172.355	1090606336.0
169	8.047	56.62	117.65100000000001	64.46	172.355	867203328.0
