	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
142	9.05	47.547	114.42	47.547	173.222	1412528000.0
143	9.05	47.547	115.17	47.547	173.222	1376741600.0
144	9.05	47.547	115.92	47.547	173.222	1911471900.0
145	9.05	47.547	115.92	48.3	173.222	1033605000.0
146	9.05	47.547	116.669	46.8	173.222	1058861440.0
147	9.05	47.547	116.669	47.547	173.222	2605202400.0
148	9.05	47.547	116.669	48.3	173.222	1348049000.0
149	9.05	47.547	117.42	47.547	173.222	2307845000.0
150	9.05	47.547	117.42	48.3	173.222	1204277400.0
151	9.05	47.547	118.17	47.547	173.222	1391318800.0
152	9.05	47.95	115.17	47.547	173.222	1014289700.0
153	9.05	47.95	115.92	47.547	173.222	1479559000.0
154	9.05	47.95	115.92	48.3	173.222	1648794100.0
155	9.05	47.95	116.669	47.547	173.222	1933476000.0
156	9.05	47.95	116.669	48.3	173.222	1884020500.0
157	9.05	47.95	117.42	47.547	173.222	1630029800.0
158	9.05	47.95	117.42	48.3	173.222	1681149200.0
159	9.05	47.95	118.17	47.547	173.222	1092337900.0
160	9.05	47.95	118.17	48.3	173.222	1326005500.0
161	9.05	48.35	115.92	48.3	173.222	1301852400.0
162	9.05	48.35	116.669	48.3	173.222	1287320600.0
163	9.05	48.35	117.42	48.3	173.222	1131874600.0
