	f4	f3	f2	f1	C	Intensity
144	8.32	51.25	122.51799999999999	21.62	174.095	561050176.0
145	8.32	51.25	122.51799999999999	22.366	174.095	568812160.0
146	8.32	51.25	123.27	20.87	174.095	703436480.0
147	8.32	51.25	123.27	21.62	174.095	834619072.0
148	8.32	51.25	123.27	22.366	174.095	828367424.0
149	8.32	51.25	124.02	20.87	174.095	814155328.0
150	8.32	51.25	124.02	21.62	174.095	917823424.0
151	8.32	51.25	124.02	22.366	174.095	797392832.0
152	8.32	51.25	124.02	23.12	174.095	487809184.0
153	8.32	51.25	124.77	20.87	174.095	965179392.0
154	8.32	51.25	124.77	21.62	174.095	799938304.0
155	8.32	51.25	124.77	22.366	174.095	702949376.0
156	8.32	51.25	124.77	23.12	174.095	520148512.0
157	8.32	51.65	123.27	20.87	174.095	466481920.0
158	8.32	51.65	123.27	21.62	174.095	580060864.0
159	8.32	51.65	123.27	22.366	174.095	467755616.0
160	8.32	51.65	124.02	20.87	174.095	593795648.0
161	8.32	51.65	124.02	21.62	174.095	684279232.0
162	8.32	51.65	124.02	22.366	174.095	481453536.0
163	8.32	51.65	124.77	20.87	174.095	761144000.0
164	8.32	51.65	124.77	21.62	174.095	700047296.0
165	8.32	51.65	124.77	22.366	174.095	517209216.0
166	8.32	52.053999999999995	124.02	20.87	174.095	542726272.0
167	8.32	52.053999999999995	124.02	21.62	174.095	521603968.0
168	8.32	52.053999999999995	124.77	20.87	174.095	635843520.0
169	8.32	52.053999999999995	124.77	21.62	174.095	598627008.0
170	8.32	52.45	124.02	20.87	174.095	455731296.0
171	8.32	52.45	124.77	20.87	174.095	492938432.0
172	8.32	52.45	124.77	21.62	174.095	469450528.0
173	8.72	50.85	123.27	20.87	174.095	456617920.0
174	8.72	50.85	124.02	20.87	174.095	465243584.0
175	8.72	50.85	124.02	22.366	174.095	464545024.0
176	8.72	50.85	124.77	20.87	174.095	461246752.0
177	8.72	50.85	124.77	21.62	174.095	448379968.0
178	8.72	50.85	124.77	22.366	174.095	480401184.0
179	8.72	51.65	124.02	20.87	174.095	450842176.0
180	8.72	52.053999999999995	124.02	20.87	174.095	514754496.0
